DEBUG:root:num batches:200, batch_size:250, epochs:200
DEBUG:root:Training Conv VAE Model:
DEBUG:root:Iteration: 10000, Training:  Loss 20159, batch_log_lik -79 Validation: Loss 22676, batch_log_lik -89 *
DEBUG:root:Iteration: 10200, Training:  Loss 20147, batch_log_lik -79 Validation: Loss 22576, batch_log_lik -89 *
DEBUG:root:Iteration: 10400, Training:  Loss 20133, batch_log_lik -79 Validation: Loss 22526, batch_log_lik -89 *
DEBUG:root:Iteration: 10600, Training:  Loss 20021, batch_log_lik -79 Validation: Loss 22515, batch_log_lik -89 *
DEBUG:root:Iteration: 10800, Training:  Loss 19958, batch_log_lik -78 Validation: Loss 22383, batch_log_lik -88 *
DEBUG:root:Iteration: 11000, Training:  Loss 20015, batch_log_lik -79 Validation: Loss 22372, batch_log_lik -88 *
DEBUG:root:Iteration: 11200, Training:  Loss 19969, batch_log_lik -78 Validation: Loss 22278, batch_log_lik -88 *
DEBUG:root:Iteration: 11400, Training:  Loss 19896, batch_log_lik -78 Validation: Loss 22431, batch_log_lik -88 
DEBUG:root:Iteration: 11600, Training:  Loss 19839, batch_log_lik -78 Validation: Loss 22302, batch_log_lik -88 
DEBUG:root:Iteration: 11800, Training:  Loss 19802, batch_log_lik -78 Validation: Loss 22234, batch_log_lik -88 *
DEBUG:root:Iteration: 12000, Training:  Loss 19866, batch_log_lik -78 Validation: Loss 22142, batch_log_lik -87 *
DEBUG:root:Iteration: 12200, Training:  Loss 19623, batch_log_lik -77 Validation: Loss 22144, batch_log_lik -87 
DEBUG:root:Iteration: 12400, Training:  Loss 19559, batch_log_lik -77 Validation: Loss 22115, batch_log_lik -87 *
DEBUG:root:Iteration: 12600, Training:  Loss 19660, batch_log_lik -77 Validation: Loss 22092, batch_log_lik -87 *
DEBUG:root:Iteration: 12800, Training:  Loss 19507, batch_log_lik -77 Validation: Loss 21963, batch_log_lik -87 *
DEBUG:root:Iteration: 13000, Training:  Loss 19447, batch_log_lik -76 Validation: Loss 21903, batch_log_lik -86 *
