DEBUG:root:idx_keep count:443
DEBUG:root:x_l:(100, 443), y_l:(100, 10), x_u:(49900, 443), y_(49900, 10)
DEBUG:root:num batches:250.0, batch_size:200,  num_lab_batch 100, num_ulab_batch:100, epochs:1200
DEBUG:root:labeled + unlabeled loss
DEBUG:root:Training Auxiliary VAE:
DEBUG:root:Iteration: 3901, Training Loss: 1085642 Acc:1.0 marg_lik: -3459555.5  Validation Acc:0.6627 marg_lik: -21848093.08 , *
DEBUG:root:Iteration: 4001, Training Loss: 1522892 Acc:1.0 marg_lik: -2007810.625  Validation Acc:0.6404 marg_lik: -16638301.88 , 
DEBUG:root:Iteration: 4101, Training Loss: 1573899 Acc:1.0 marg_lik: -9969753.0  Validation Acc:0.6377 marg_lik: -24486850.14 , 
DEBUG:root:Iteration: 4201, Training Loss: 1082899 Acc:1.0 marg_lik: -18241606.0  Validation Acc:0.6468 marg_lik: -28717621.04 , 
DEBUG:root:Iteration: 4301, Training Loss: 1012806 Acc:1.0 marg_lik: -13950622.0  Validation Acc:0.6552 marg_lik: -54867219.35 , 
DEBUG:root:Iteration: 4401, Training Loss: -14257 Acc:1.0 marg_lik: -1874272.5  Validation Acc:0.6263 marg_lik: -64295924.37 , 
DEBUG:root:Iteration: 4501, Training Loss: 283034 Acc:1.0 marg_lik: -5461586.0  Validation Acc:0.6345 marg_lik: -54107646.51 , 
DEBUG:root:Iteration: 4601, Training Loss: 1255803 Acc:1.0 marg_lik: -3046098.75  Validation Acc:0.6677 marg_lik: -43593604.5 , *
DEBUG:root:Iteration: 4701, Training Loss: 2179131 Acc:0.97 marg_lik: -91118184.0  Validation Acc:0.6401 marg_lik: -66881548.28 , 
DEBUG:root:Iteration: 4801, Training Loss: -1543449 Acc:1.0 marg_lik: -3083135.25  Validation Acc:0.6507 marg_lik: -119830276.6 , 
DEBUG:root:Iteration: 4901, Training Loss: 134159 Acc:1.0 marg_lik: -24983414.0  Validation Acc:0.6512 marg_lik: -33578205.3 , 
DEBUG:root:Iteration: 5001, Training Loss: -270046 Acc:1.0 marg_lik: -3541682.75  Validation Acc:0.6299 marg_lik: -55824266.71 , 
DEBUG:root:Iteration: 5101, Training Loss: 3606145 Acc:1.0 marg_lik: -7087818.5  Validation Acc:0.6452 marg_lik: -118340533.48 , 
DEBUG:root:Iteration: 5201, Training Loss: -271693 Acc:1.0 marg_lik: -4710603.5  Validation Acc:0.6544 marg_lik: -64690221.7 , 
DEBUG:root:Iteration: 5301, Training Loss: 258487 Acc:1.0 marg_lik: -7612665.0  Validation Acc:0.6487 marg_lik: -97630862.12 , 
DEBUG:root:Iteration: 5401, Training Loss: -1299907 Acc:1.0 marg_lik: -4455841.5  Validation Acc:0.649 marg_lik: -81585744.72 , 
DEBUG:root:Iteration: 5501, Training Loss: -433000 Acc:1.0 marg_lik: -12973248.0  Validation Acc:0.6471 marg_lik: -99590011.16 , 
DEBUG:root:Iteration: 5601, Training Loss: 162276 Acc:0.81 marg_lik: -79914624.0  Validation Acc:0.6437 marg_lik: -92770432.3 , 
DEBUG:root:Iteration: 5701, Training Loss: 915574 Acc:1.0 marg_lik: -4555729.0  Validation Acc:0.6487 marg_lik: -38653285.65 , 
DEBUG:root:Iteration: 5801, Training Loss: -2626045 Acc:1.0 marg_lik: -175100384.0  Validation Acc:0.6695 marg_lik: -80959014.73 , *
DEBUG:root:Iteration: 5901, Training Loss: 228032 Acc:1.0 marg_lik: -615552.875  Validation Acc:0.6482 marg_lik: -111219632.39 , 
DEBUG:root:Iteration: 6001, Training Loss: 194950 Acc:1.0 marg_lik: -3653649.5  Validation Acc:0.658 marg_lik: -32314238.96 , 
DEBUG:root:Iteration: 6101, Training Loss: 544545 Acc:1.0 marg_lik: -1923883.625  Validation Acc:0.6446 marg_lik: -55157026.55 , 
DEBUG:root:Iteration: 6201, Training Loss: 1170489 Acc:0.98 marg_lik: -31558648.0  Validation Acc:0.6608 marg_lik: -67148209.12 , 
DEBUG:root:Iteration: 6301, Training Loss: -1264493 Acc:1.0 marg_lik: -88712536.0  Validation Acc:0.6641 marg_lik: -130423124.32 , 
DEBUG:root:Iteration: 6401, Training Loss: -889182 Acc:0.73 marg_lik: -3384011264.0  Validation Acc:0.6516 marg_lik: -296727514.86 , 
DEBUG:root:Iteration: 6501, Training Loss: -668676 Acc:1.0 marg_lik: -43733468.0  Validation Acc:0.6591 marg_lik: -68319627.05 , 
DEBUG:root:Iteration: 6601, Training Loss: -2408199 Acc:1.0 marg_lik: -13795777.0  Validation Acc:0.6668 marg_lik: -134336234.32 , 
DEBUG:root:Iteration: 6701, Training Loss: -1185885 Acc:1.0 marg_lik: -42382832.0  Validation Acc:0.6599 marg_lik: -163017989.64 , 
DEBUG:root:Iteration: 6801, Training Loss: -284966 Acc:1.0 marg_lik: -9169939.0  Validation Acc:0.6404 marg_lik: -321071040.36 , 
DEBUG:root:Iteration: 6901, Training Loss: -518174 Acc:0.9 marg_lik: -1942923392.0  Validation Acc:0.6508 marg_lik: -373437493.94 , 
DEBUG:root:Iteration: 7001, Training Loss: -761475 Acc:0.99 marg_lik: -45059896.0  Validation Acc:0.6649 marg_lik: -30922846.5 , 
DEBUG:root:Iteration: 7101, Training Loss: -503499 Acc:1.0 marg_lik: -2227254.5  Validation Acc:0.6703 marg_lik: -83274161.72 , *
DEBUG:root:Iteration: 7201, Training Loss: 141087 Acc:1.0 marg_lik: -1749880.375  Validation Acc:0.6508 marg_lik: -315939641.58 , 
DEBUG:root:Iteration: 7301, Training Loss: -1001720 Acc:1.0 marg_lik: 485635.65625  Validation Acc:0.6684 marg_lik: -105863651.46 , 
DEBUG:root:Iteration: 7401, Training Loss: -548857 Acc:1.0 marg_lik: -61492720.0  Validation Acc:0.6654 marg_lik: -70643473.36 , 
DEBUG:root:Iteration: 7501, Training Loss: -1183363 Acc:1.0 marg_lik: -101837504.0  Validation Acc:0.6462 marg_lik: -321982039.32 , 
DEBUG:root:Iteration: 7601, Training Loss: -243752 Acc:1.0 marg_lik: -47152304.0  Validation Acc:0.6547 marg_lik: -76449755.34 , 
DEBUG:root:Iteration: 7701, Training Loss: 12745275 Acc:1.0 marg_lik: 73801.84375  Validation Acc:0.65 marg_lik: -57576024.32 , 
DEBUG:root:Iteration: 7801, Training Loss: -1483654 Acc:1.0 marg_lik: -101237824.0  Validation Acc:0.6672 marg_lik: -121752563.46 , 
DEBUG:root:Iteration: 7901, Training Loss: -592837 Acc:1.0 marg_lik: -70366152.0  Validation Acc:0.6681 marg_lik: -95207823.94 , 
DEBUG:root:Iteration: 8001, Training Loss: -1073308 Acc:1.0 marg_lik: -8758743.0  Validation Acc:0.6552 marg_lik: -260221103.6 , 
DEBUG:root:Iteration: 8101, Training Loss: 476325 Acc:1.0 marg_lik: -37173668.0  Validation Acc:0.6631 marg_lik: -132662052.78 , 
